代码,晨星专属号,名称,类型,页码,备注
159803, 0P0001J3E8, 易方达中证浙江新动能ETF（QDII）, 大中华区股票, 116, 页面跳转有问题
159809, 0P0001JIPA, 博时恒生沪深港通大湾区综合ETF, 沪港深股票型基金, 116, 页面跳转有问题
159963, 0P0001F572, 富国恒生中国企业ETF, 普通股票型, 116, 页面跳转有问题
160136, 0P000162QH, 南方中证国有企业改革指数（LOF）A, 普通股票型, 116, 页面跳转有问题
160142, 0P0001DI3W, 南方3年封闭运作战略配售灵活配置混合(LOF), 灵活配置型基金(封闭), 116, 页面跳转有问题
160522, 0P0001CQTS, 博时睿益事件驱动灵活配置混合（LOF）, 灵活配置型基金, 116, 页面跳转有问题
001620, 0P00016DLQ, 嘉实新机遇灵活配置混合, 灵活配置型基金, 30, 页面跳转有问题
001683, 0P00016DLP, 华夏新经济灵活配置混合, 灵活配置型基金, 30, 页面跳转有问题
161131, 0P0001DI3T, 易方达3年封闭运作战略配售灵活配置混合（LOF), 灵活配置型基金(封闭), 126, 页面跳转有问题
161629, 0P00016C35, 融通中证精准医疗主题指数（LOF）, 行业股票 - 医药, 126, 页面跳转有问题
161714, 0P0000S1IT, 招商标普金砖四国指数(QDII-LOF), 新兴市场股票, 126, 页面跳转有问题
161728, 0P0001DI3Y, 招商3年封闭运作战略配售灵活配置混合(LOF), 灵活配置型基金(封闭), 126, 页面跳转有问题
001769, 0P00016GJM, 易方达瑞惠灵活配置混合, 灵活配置型基金, 30, 页面跳转有问题
001773, 0P00016GJL, 招商丰庆灵活配置混合A, 灵活配置型基金, 30, 页面跳转有问题
167705, 0P0001CPEH, 德邦量化新锐股票(LOF) A, 普通股票型, 136, 页面跳转有问题
168103, 0P00018B3N, 九泰锐益定增灵活配置混合, 灵活配置型基金(封闭), 136, 页面跳转有问题
168105, 0P00018JGP, 九泰泰富定增主题灵活配置混合型, 灵活配置型基金(封闭), 136, 页面跳转有问题
501186, 0P0001DI3X, 华夏3年封闭运作战略配售灵活配置混合(LOF), 灵活配置型基金(封闭), 146, 页面跳转有问题
501188, 0P0001DI3U, 汇添富3年封闭运作战略配售灵活配置混合（LOF）, 灵活配置型基金(封闭), 146, 页面跳转有问题
501189, 0P0001DI3V, 嘉实3年封闭运作战略配售灵活配置混合(LOF), 灵活配置型基金(封闭), 146, 页面跳转有问题
512270, 0P0001F68Q, 华安沪深300行业中性低波动ETF, 普通股票型, 156, 页面跳转有问题
512340, 0P00015KX3, 南方中证500原材料指数ETF, 普通股票型, 156, 页面跳转有问题
512860, 0P0001E1FC, 华安MSCI中国A股国际ETF, 普通股票型, 156, 页面跳转有问题
515620, 0P0001JF1J, 建信中证800ETF, 普通股票型, 166, 页面跳转有问题
