代码,晨星专属号,名称,类型,股票总仓位,页码,备注
003529, 0P00018W2Q, 汇添富长添利定期开放债券C, 普通债券型基金(封闭), 0.00, 3120, li[16]
004832, 0P0001CBPL, 汇添富鑫泽定期开放债券C, 普通债券型基金(封闭), 0.00, 3150, li[16]
005214, 0P0001CLLW, 华夏鼎旺三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3150, li[16]
005365, 0P0001D9DK, 华夏鼎顺三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3160, li[16]
005500, 0P0001DCZC, 银华岁盈定期开放债券, 普通债券型基金(封闭), 0.00, 3170, li[16]
005792, 0P0001DKU5, 华夏鼎福三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3190, li[16]
005858, 0P0001D51Q, 汇添富鑫成定期开放债券C, 普通债券型基金(封闭), 0.00, 3190, li[16]
005863, 0P0001EKME, 华夏鼎禄三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3190, li[16]
005964, 0P0001D7EG, 中欧安财定期开放债券, 普通债券型基金(封闭), 0.00, 3200, li[16]
007712, 0P0001I7FR, 中银康享3个月定期开放债券, 普通债券型基金(封闭), 0.00, 3230, li[16]
008139, 0P0001J0ZR, 鑫元一年定期开放中高等级债券, 普通债券型基金(封闭), 0.00, 3230, li[16]
008289, 0P0001JOVJ, 国寿安保泰祥纯债一年定期开放债券, 普通债券型基金(封闭), 0.00, 3230, li[16]
008360, 0P0001KJ4Z, 鹏扬淳选一年定期开放债券, 普通债券型基金(封闭), 0.00, 3240, li[16]
008463, 0P0001JOVH, 招商添瑞1年定期开放债券A, 普通债券型基金(封闭), 0.00, 3240, li[16]
008464, 0P0001JOVI, 招商添瑞1年定期开放债券C, 普通债券型基金(封闭), 0.00, 3240, li[16]
008508, 0P0001JKQ4, 中融聚锦一年定期开放债券, 普通债券型基金(封闭), 0.00, 3240, li[16]
008766, 0P0001JVY7, 财通资管鸿盛12个月定期开放债券A, 普通债券型基金(封闭), 0.00, 3250, li[16]
008767, 0P0001JVY8, 财通资管鸿盛12个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3250, li[16]
008826, 0P0001K2ER, 天弘成享一年定期开放债券, 普通债券型基金(封闭), 0.00, 3250, li[16]
008925, 0P0001JV4Q, 鹏华尊达一年定期开放债券, 普通债券型基金(封闭), 0.00, 3260, li[16]
001274, 0P000187Q2, 民生加银新动力灵活配置混合D, 灵活配置型基金, 33.04, 5640, li[16]
011420, 0P0001LKWB, 广发全球科技三个月定期开放混合（QDII）人民币A, , 0.00, 2150, li[16]
011421, 0P0001LKWD, 广发全球科技三个月定期开放混合（QDII）美元A, , 0.00, 2150, li[16]
011422, 0P0001LKW8, 广发全球科技三个月定期开放混合（QDII）人民币C, , 0.00, 2150, li[16]
011423, 0P0001LKW9, 广发全球科技三个月定期开放混合（QDII）美元C, , 0.00, 2150, li[16]
970001, 0P0001LLLX, 天风证券天泽六个月定期开放债券A, 普通债券型基金(封闭), 0.00, 3280, li[16]
970002, 0P0001LLLY, 天风证券天泽六个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3280, li[16]
003184, 0P0001A90J, 中证财通中国可持续发展100 (ECPI ESG) 指数增强C, 普通股票型, 94.67, 3300, li[16]
968068, 0P0001K5PY, 惠理高息股票基金 P USD Acc, 亚洲不包括日本股票, 95.10, 2180, li[16]
005658, 0P0001CNDG, 华夏沪深300ETF联接C, 普通股票型, 0.00, 3350, None
240010, F00000043F, 华宝行业精选混合, 积极配置型, 80.19, 1460, None
008719, 0P0001LJ1H, 德邦安顺混合A, 保守混合型基金, 0.00, 2350, li[16]
