代码,晨星专属号,名称,类型,页码,备注
000435, 0P000101H1, 建信稳定添利债券A, 积极债券型, 1180, 页面跳转有问题
004182, 0P0001ABLY, 建信瑞福添利混合A, 保守混合型基金, 2090, 页面跳转有问题
004468, 0P0001ABLZ, 建信瑞福添利混合C, 保守混合型基金, 2090, 页面跳转有问题
512340, 0P00015KX3, 南方中证500原材料指数ETF, 普通股票型, 1280, 页面跳转有问题
000723, 0P0001421O, 建信稳定添利债券C, 积极债券型, 1290, 页面跳转有问题
005747, 0P0001ECUP, 华安MSCI中国A股国际ETF联接A, 普通股票型, 3360, 页面跳转有问题
005748, 0P0001ECUQ, 华安MSCI中国A股国际ETF联接C, 普通股票型, 3360, 页面跳转有问题
006912, 0P0001FIFH, 长城久泰沪深300指数 C, 普通股票型, 3470, 页面跳转有问题
001724, 0P00016FID, 申万菱信多策略灵活配置混合C, 灵活配置型基金, 5830, 页面跳转有问题
512860, 0P0001E1FC, 华安MSCI中国A股国际ETF, 普通股票型, 3930, 页面跳转有问题
005769, 0P0001DGGJ, 南方共享经济灵活配置混合, 沪港深保守混合型, 4100, 页面跳转有问题
006362, 0P0001EG9S, 凯石涵行业精选混合A, 积极配置型, 7530, 页面跳转有问题
006815, 0P0001FIB4, 凯石涵行业精选混合C, 积极配置型, 7560, 页面跳转有问题
