代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
167406856845656064, 002190, 0P00017LPU, 农银汇理新能源主题灵活配置混合, 积极配置 - 大盘成长, 5, 5, -31.85
167406858879893504, 000336, 0P0000ZQ30, 农银研究精选混合, 积极配置 - 大盘成长, 5, 5, -32.27
167406860867993600, 001300, 0P00015YLW, 大成睿景灵活配置混合A, 积极配置 - 中小盘, 5, 5, -22.18
167406863510405120, 001301, 0P00015YNO, 大成睿景灵活配置混合C, 积极配置 - 中小盘, 5, 5, -22.37
167406865536253952, 006736, 0P0001FBKP, 国投瑞银先进制造混合, 沪港深积极配置, 5, 0, -35.43
167406867289473024, 001156, 0P00015R92, 申万菱信新能源汽车主题灵活配置混合, 积极配置 - 大盘成长, 5, 5, -26.96
167406869445345280, 005855, 0P0001EOHH, 中科沃土沃瑞灵活配置混合A, 灵活配置, 5, 0, -12.26
167406872691736576, 005856, 0P0001EOHI, 中科沃土沃瑞灵活配置混合C, 灵活配置, 5, 0, -12.57
167406875413839872, 001644, 0P00016LM1, 汇丰晋信智造先锋股票C, 中盘成长股票, 5, 4, -38.20
167406877548740608, 540008, 0P0000NX49, 汇丰晋信低碳先锋股票A, 中盘成长股票, 5, 3, -31.25
167406880472170496, 001245, 0P00015ZIV, 工银生态环境股票A, 大盘成长股票, 5, 4, -36.85
167406884670668800, 005672, 0P0001DKGM, 新疆前海联合研究优选灵活配置混合C, 灵活配置, 5, 0, -16.14
167406896934813696, 006392, 0P0001FE1F, 中信保诚创新成长灵活配置混合, 沪港深积极配置, 5, 0, -30.79
167406901091368960, 090018, 0P0000VE3A, 大成新锐产业混合, 积极配置 - 中小盘, 5, 5, -23.01
167406903863803904, 000991, 0P00015AHP, 工银战略转型股票A, 中盘平衡股票, 5, 5, -5.16
167406907596734464, 001606, 0P00016EBI, 农银汇理工业4.0灵活配置混合, 灵活配置, 5, 5, -33.35
167406910939594752, 002258, 0P0001BG97, 大成国企改革灵活配置混合, 积极配置 - 大盘成长, 5, 0, -23.36
167406915066789888, 001704, 0P0001BK3Y, 国投瑞银进宝灵活配置混合, 积极配置 - 大盘成长, 5, 0, -35.54
167406918283821056, 005094, 0P0001C87G, 万家臻选混合, 积极配置 - 大盘成长, 5, 0, -16.24
167406922088054784, 001643, 0P00016LM0, 汇丰晋信智造先锋股票A, 中盘成长股票, 5, 5, -38.10
167406924373950464, 519702, 0P0000RROL, 交银趋势优先混合A, 积极配置 - 大盘成长, 5, 5, -20.15
167406926357856256, 005671, 0P0001DKGL, 新疆前海联合研究优选灵活配置混合A, 灵活配置, 5, 0, -15.93
167406928232710144, 000209, 0P0000YYWI, 信诚新兴产业混合A, 积极配置 - 大盘成长, 5, 3, -37.12
167406929948180480, 519918, 0P000135LD, 华夏兴和混合, 积极配置 - 大盘成长, 5, 5, -18.36
167406931814645760, 005939, 0P0001ED58, 工银新能源汽车混合A, 积极配置 - 大盘成长, 5, 0, -29.85
167406968196038656, 005940, 0P0001ED59, 工银新能源汽车混合C, 积极配置 - 大盘成长, 5, 0, -29.94
167406970343522304, 700003, 0P0000VVO0, 平安策略先锋混合, 积极配置 - 大盘成长, 5, 5, -31.58
167406972738469888, 001822, 0P00016V72, 华商智能生活灵活配置混合A, 灵活配置, 5, 5, -33.77
167406976718864384, 002132, 0P000178CR, 广发鑫享灵活配置混合A, 灵活配置, 5, 5, -31.50
167406979726180352, 519002, 0P0000YVK0, 华安安信消费混合A, 积极配置 - 大盘成长, 5, 5, -21.35
167406984595767296, 166301, 0P0001610K, 华商新趋势优选灵活配置混合, 沪港深灵活配置, 5, 5, -7.04
167406989041729536, 005825, 0P0001D4T5, 申万菱信智能驱动股票A, 大盘成长股票, 5, 0, -34.47
167406993424777216, 001825, 0P00019N0J, 建信中国制造2025股票A, 大盘成长股票, 5, 5, -13.98
167406995849084928, 005669, 0P0001CPZD, 前海开源公用事业行业股票, 沪港深股票, 5, 0, -33.33
167406998944481280, 720001, 0P0000UG6T, 财通价值动量混合, 积极配置 - 大盘成长, 5, 5, -4.91
167407001968574464, 519196, 0P0001755R, 万家新兴蓝筹灵活配置混合, 积极配置 - 大盘成长, 5, 5, -18.58
167407004971696128, 000828, 0P00014HCP, 泰达宏利转型机遇股票A, 大盘成长股票, 5, 5, -36.77
167407007307923456, 004812, 0P0001CGEW, 中欧先进制造股票A, 沪港深股票, 5, 0, -33.25
167407009564459008, 003834, 0P0001ACCP, 华夏能源革新股票A, 大盘成长股票, 5, 0, -31.38
167407011217014784, 165516, 0P0000VO6G, 信诚周期轮动混合（LOF）A, 积极配置 - 大盘成长, 5, 5, -24.87
167407013515493376, 002780, 0P0001CRY6, 新疆前海联合泓鑫灵活配置混合A, 积极配置 - 大盘成长, 5, 0, -20.04
167407015428096000, 000409, 0P00011WBT, 鹏华环保产业股票, 大盘成长股票, 5, 5, -30.42
