代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
67706575770353664, 001643, 0P00016LM0, 汇丰晋信智造先锋股票A, 普通股票型, 5, 5, 33.76
67706582846144512, 003853, 0P0001D5H7, 金鹰信息产业股票A, 行业股票 - 科技、传媒及通讯, 5, 0, 37.63
67706590093901824, 000828, 0P00014HCP, 泰达宏利转型机遇股票A, 普通股票型, 5, 5, 54.48
67706597509431296, 000209, 0P0000YYWI, 信诚新兴产业混合, 积极配置型, 5, 2, 69.48
67706604539084800, 005968, 0P0001DBFS, 创金合信工业周期精选股票A, 普通股票型, 5, 0, 31.28
67706613179351040, 004813, 0P0001CGEX, 中欧先进制造股票C, 沪港深股票型基金, 5, 0, 31.43
67706625384775680, 161903, 0P0000ZEAH, 万家行业优选混合 (LOF), 积极配置型, 5, 5, 16.38
67706634197008384, 003834, 0P0001ACCP, 华夏能源革新股票, 普通股票型, 5, 0, 44.25
67706643181207552, 003985, 0P00019L9Q, 嘉实新能源新材料股票C, 普通股票型, 5, 0, 24.38
67706651347517440, 550009, F0000004IM, 信诚中小盘混合, 积极配置型, 5, 4, 53.36
67706659555770368, 004997, 0P0001BFNL, 广发高端制造股票A, 普通股票型, 5, 0, 17.60
67706668036653056, 700003, 0P0000VVO0, 平安策略先锋混合, 标准混合型, 5, 4, 50.36
67706675196329984, 005825, 0P0001D4T5, 申万菱信智能驱动股票, 普通股票型, 5, 0, 27.51
67706682137903104, 001644, 0P00016LM1, 汇丰晋信智造先锋股票C, 普通股票型, 5, 5, 33.38
67706688404193280, 005885, 0P0001D5H8, 金鹰信息产业股票C, 行业股票 - 科技、传媒及通讯, 5, 0, 37.32
67706695911997440, 000336, 0P0000ZQ30, 农银研究精选混合, 积极配置型, 5, 3, 33.12
67706704048947200, 001245, 0P00015ZIV, 工银瑞信生态环境行业股票, 普通股票型, 5, 4, 43.43
67706712102010880, 004812, 0P0001CGEW, 中欧先进制造股票A, 沪港深股票型基金, 5, 0, 32.02
67706721463697408, 005969, 0P0001DBFT, 创金合信工业周期精选股票C, 普通股票型, 5, 0, 30.76
67706729533538304, 003984, 0P00019L9P, 嘉实新能源新材料股票A, 普通股票型, 5, 0, 24.72
67706737213308928, 165516, 0P0000VO6G, 信诚周期轮动混合(LOF), 积极配置型, 5, 5, 37.73
67706744838553600, 004784, 0P0001BI6K, 招商稳健优选股票, 普通股票型, 5, 0, 44.71
67706751427805184, 001410, 0P0001696E, 信达澳银新能源产业股票, 普通股票型, 5, 5, 37.75
67706757878644736, 002168, 0P000176WZ, 嘉实智能汽车股票, 普通股票型, 5, 5, 21.91
67706764518227968, 005927, 0P0001D725, 创金合信新能源汽车主题股票A, 普通股票型, 5, 0, 61.26
67706833975902208, 001616, 0P000171KA, 嘉实环保低碳股票, 普通股票型, 5, 5, 19.01
67706842913964032, 005630, 0P0001CM8P, 华安研究精选混合, 积极配置型, 5, 0, 26.79
67706850774089728, 000924, 0P00014ZW6, 宝盈先进制造灵活配置混合A, 积极配置型, 5, 5, 26.29
67706857916989440, 481010, F0000004IN, 工银瑞信中小盘混合, 积极配置型, 5, 3, 20.47
67706865508679680, 003567, 0P00019HX6, 华夏行业景气混合, 积极配置型, 5, 0, 63.21
67706871607197696, 000409, 0P00011WBT, 鹏华环保产业股票, 普通股票型, 5, 5, 30.77
67706877076570112, 001476, 0P0001660F, 中银智能制造股票A, 普通股票型, 5, 4, 34.53
67706883535798272, 004640, 0P0001B7FB, 华夏节能环保股票, 普通股票型, 5, 0, 18.86
67706890330570752, 001279, 0P00015XQU, 中海积极增利灵活配置混合, 积极配置型, 5, 3, 49.54
67706896416505856, 000601, 0P00012M90, 华宝创新优选混合, 积极配置型, 5, 4, 19.57
67706902984785920, 001694, 0P00017BUF, 华安沪港深外延增长灵活配置混合, 沪港深积极配置型, 5, 5, 10.62
67706910039605248, 005805, 0P0001DDH6, 华泰柏瑞医疗健康混合A, 行业混合 - 医药, 5, 0, 14.64
67706917098618880, 005211, 0P0001BVHE, 银河智慧主题灵活配置混合, 积极配置型, 5, 0, 29.29
67706924090523648, 005136, 0P0001BOT2, 华安幸福生活混合, 积极配置型, 5, 0, 28.95
67706931216646144, 002780, 0P0001CRY6, 新疆前海联合泓鑫灵活配置混合A, 积极配置型, 5, 0, 14.96
67706938007224320, 290011, 0P0000U02T, 泰信中小盘精选混合, 积极配置型, 5, 3, 33.24
67706944764248064, 001054, 0P00015G3U, 工银新金融股票, 普通股票型, 5, 5, 24.03
67706951592574976, 398051, 0P0000Q7VG, 中海环保新能源混合, 标准混合型, 5, 4, 41.62
67706958055997440, 001811, 0P000179WG, 中欧明睿新常态混合A, 积极配置型, 5, 5, 46.29
67706965052096512, 000541, 0P00011XG7, 华商创新成长灵活配置混合, 积极配置型, 5, 3, 18.62
67706972429877248, 005668, 0P0001D9OF, 融通新能源汽车主题精选灵活配置混合A, 沪港深积极配置型, 5, 0, 20.88
67706979954458624, 519002, 0P0000YVK0, 华安安信消费混合, 积极配置型, 5, 5, 13.77
67706986732453888, 005765, 0P0001CWA8, 中欧明睿新常态混合C, 积极配置型, 5, 0, 45.59
67706993141350400, 001126, 0P00015IDX, 上投摩根卓越制造股票, 普通股票型, 5, 4, 10.08
67706999718019072, 210003, F0000004FZ, 金鹰行业优势混合, 积极配置型, 5, 4, 52.09
67707060204077056, 100060, 0P0000W9KB, 富国高新技术产业混合, 积极配置型, 5, 4, 4.68
67707069662232576, 020023, 0P0000TOF3, 国泰事件驱动策略混合, 积极配置型, 5, 5, 22.81
67707078390579200, 001104, 0P00015I8I, 华安新丝路主题股票, 普通股票型, 5, 5, 8.14
67707084350685184, 519126, 0P00012R6S, 浦银安盛新经济结构灵活配置混合, 积极配置型, 5, 3, 34.17
67707089576787968, 000592, 0P00012NRY, 建信改革红利股票, 普通股票型, 5, 5, 21.88
67707095046160384, 000991, 0P00015AHP, 工银瑞信战略转型主题股票A, 普通股票型, 5, 5, 15.81
67707101308256256, 004925, 0P0001BP1Y, 长信低碳环保行业量化股票, 普通股票型, 5, 0, 43.03
67707107683598336, 005454, 0P0001CCUG, 前海开源医疗健康灵活配置混合C, 行业混合 - 医药, 5, 0, 7.51
67707113572401152, 270028, 0P0000TVGO, 广发制造业精选混合A, 积极配置型, 5, 3, 20.63
67707119045967872, 217013, F0000004I4, 招商中小盘精选混合, 积极配置型, 5, 5, 19.68
67707124142047232, 040035, 0P0000WI7B, 华安逆向策略混合, 积极配置型, 5, 4, 16.51
67707129322012672, 400032, 0P00015CVE, 东方主题精选混合, 积极配置型, 5, 3, 30.05
67707135428919296, 519727, 0P0000YMY5, 交银成长30混合, 积极配置型, 5, 4, 5.05
67707141128978432, 090018, 0P0000VE3A, 大成新锐产业混合, 积极配置型, 5, 5, 47.59
67707147558846464, 519095, 0P0000OP9P, 新华行业周期轮换混合, 积极配置型, 5, 4, 32.40
