代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
4851, 0P0001B8TX, 广发医疗保健股票A, 行业股票 - 医药,5,0,20.68
1766, 0P00016JIH, 上投摩根医疗健康股票, 行业股票 - 医药,5,5,19.89
161903, 0P0000ZEAH, 万家行业优选混合 (LOF), 积极配置型,5,5,10.44
1104, 0P00015I8I, 华安新丝路主题股票, 普通股票型,5,5,23.9
260104, F0000003WB, 景顺长城内需增长混合, 积极配置型,5,4,19.24
1126, 0P00015IDX, 上投摩根卓越制造股票, 普通股票型,5,4,17.12
260109, F000000410, 景顺长城内需增长贰号混合, 积极配置型,5,4,18.7
4997, 0P0001BFNL, 广发高端制造股票A, 普通股票型,5,0,22.96
1643, 0P00016LM0, 汇丰晋信智造先锋股票A, 普通股票型,5,5,-0.96
360016, 0P0000V0I1, 光大保德信行业轮动混合, 积极配置型,5,4,20.24
1644, 0P00016LM1, 汇丰晋信智造先锋股票C, 普通股票型,5,5,-1.01
570008, 0P0000VCNW, 诺德周期策略混合, 积极配置型,5,5,20.63
746, 0P00013VQP, 招商行业精选股票, 普通股票型,5,5,15.72
4075, 0P00019RNV, 交银施罗德医药创新股票, 行业股票 - 医药,5,0,18.35
960, 0P000155LI, 招商医药健康产业股票, 行业股票 - 医药,5,4,23.75
924, 0P00014ZW6, 宝盈先进制造灵活配置混合A, 积极配置型,5,4,12.7
100060, 0P0000W9KB, 富国高新技术产业混合, 积极配置型,5,3,19.49
294, 0P0000ZT7Z, 华安生态优先混合, 积极配置型,5,5,18.91
162605, F0000003XA, 景顺长城鼎益混合(LOF), 积极配置型,5,5,18.08
161606, F0000003VT, 融通行业景气混合A/B, 积极配置型,5,4,22.41
260108, F0000003ZX, 景顺长城新兴成长混合, 积极配置型,5,5,17.85
110011, F0000004AI, 易方达中小盘混合, 积极配置型,5,5,17.43
481010, F0000004IN, 工银瑞信中小盘混合, 积极配置型,5,3,5.48
163415, 0P0000XBF0, 兴全商业模式优选混合(LOF), 积极配置型,5,5,10.19
100020, F0000003W7, 富国天益价值混合A, 积极配置型,5,5,23.34
336, 0P0000ZQ30, 农银研究精选混合, 积极配置型,5,3,10.52
751, 0P00013WJV, 嘉实新兴产业股票, 普通股票型,5,5,13.96
519727, 0P0000YMY5, 交银成长30混合, 积极配置型,5,4,12.02
1071, 0P00015WGK, 华安媒体互联网混合, 积极配置型,5,3,10.51
40016, 0P0000NNCB, 华安行业轮动混合, 积极配置型,5,4,12.23
5268, 0P0001BUMK, 鹏华优势企业股票, 普通股票型,5,0,17.01
828, 0P00014HCP, 泰达宏利转型机遇股票, 普通股票型,5,4,10.86
601, 0P00012M90, 华宝创新优选混合, 积极配置型,5,3,3.97
240011, F0000004CZ, 华宝大盘精选混合, 积极配置型,5,4,19.91
4868, 0P0001BD01, 交银施罗德股息优化混合, 积极配置型,5,0,12.76
690007, 0P0000UDWD, 民生加银景气行业混合A, 积极配置型,5,5,13.95
3984, 0P00019L9P, 嘉实新能源新材料股票A, 普通股票型,5,0,5.34
519002, 0P0000YVK0, 华安安信消费混合, 积极配置型,5,5,4.68
162703, F0000003X2, 广发小盘成长混合(LOF)A, 积极配置型,5,5,16.25
460005, F0000004B3, 华泰柏瑞价值增长混合A, 积极配置型,5,4,17.22
3745, 0P00019Y6R, 广发多元新兴股票, 普通股票型,5,0,15
180012, F000000416, 银华富裕主题混合, 积极配置型,5,5,21.69
2980, 0P00018HA3, 华夏创新前沿股票, 普通股票型,5,0,6.97
1714, 0P000172IG, 工银瑞信文体产业股票A, 普通股票型,5,5,12.96
1054, 0P00015G3U, 工银新金融股票, 普通股票型,5,5,16.13
4640, 0P0001B7FB, 华夏节能环保股票, 普通股票型,5,0,10.36
165516, 0P0000VO6G, 信诚周期轮动混合(LOF), 积极配置型,5,4,13.64
5136, 0P0001BOT2, 华安幸福生活混合, 积极配置型,5,0,12.45
1938, 0P00016WFU, 中欧时代先锋股票A, 普通股票型,5,5,19.07
162203, F020162203, 泰达宏利稳定混合, 积极配置型,5,5,18.03
2340, 0P00017KSZ, 富国价值优势混合, 积极配置型,5,0,18.59
409, 0P00011WBT, 鹏华环保产业股票, 普通股票型,5,5,11.47
570001, F00000042C, 诺德价值优势混合, 积极配置型,5,5,21.11
1811, 0P000179WG, 中欧明睿新常态混合A, 积极配置型,5,0,17.72
1410, 0P0001696E, 信达澳银新能源产业股票, 普通股票型,5,5,0.03
4241, 0P00019LX8, 中欧时代先锋股票C, 普通股票型,5,0,18.96
854, 0P00014JA5, 鹏华养老产业股票, 普通股票型,5,4,13.9
400025, 0P00013VQS, 东方新兴成长混合, 积极配置型,5,5,15.07
1887, 0P00016PDG, 中欧价值智选回报混合E, 积极配置型,5,4,17.62
418, 0P0000ZXK5, 景顺长城成长之星, 普通股票型,5,5,13.85
519714, 0P00016BED, 交银施罗德消费新驱动股票, 普通股票型,5,5,12.9
40035, 0P0000WI7B, 华安逆向策略混合, 积极配置型,5,4,12.61
160611, F00000042K, 鹏华优质治理混合(LOF), 积极配置型,5,3,14.83
1705, 0P00016VX0, 泓德战略转型股票, 普通股票型,5,5,17.11
3985, 0P00019L9Q, 嘉实新能源新材料股票C, 普通股票型,5,0,5.27
519150, 0P0000W40Z, 新华优选消费混合, 积极配置型,5,4,11.15
100039, 0P0000NN23, 富国通胀通缩主题混合, 积极配置型,5,4,13.26
519979, 0P0000TYLT, 长信内需成长混合A, 积极配置型,5,4,19.01
991, 0P00015AHP, 工银瑞信战略转型主题股票A, 普通股票型,5,5,6.83
532, 0P00011YE7, 景顺长城优势企业混合, 积极配置型,5,5,18.72
595, 0P00012KKM, 嘉实泰和混合, 积极配置型,5,5,13.78
166019, 0P0000YI7R, 中欧价值智选回报混合A, 积极配置型,5,4,17.62
162204, F0000003WE, 泰达宏利行业精选混合, 积极配置型,5,3,15.34
320022, 0P00015MOZ, 诺安研究精选股票, 普通股票型,5,4,13.85
1382, 0P0001BCX2, 易方达国企改革混合, 积极配置型,5,0,13.27
519056, 0P000101GW, 海富通内需热点混合, 积极配置型,5,4,3.85
2168, 0P000176WZ, 嘉实智能汽车股票, 普通股票型,5,0,-0.7
450004, F0000004A9, 国富深化价值混合, 积极配置型,5,2,20.49
320012, 0P0000PQL7, 诺安主题精选混合, 积极配置型,5,4,16.38
5211, 0P0001BVHE, 银河智慧主题灵活配置混合, 积极配置型,5,0,10.08
1692, 0P00016GJO, 南方国策动力股票, 普通股票型,5,4,11.11
1245, 0P00015ZIV, 工银瑞信生态环境行业股票, 普通股票型,5,3,9.95
70002, F020070002, 嘉实增长混合, 标准混合型基金,5,4,11.18
164205, 0P0001BGIK, 天弘文化新兴产业股票, 普通股票型,5,0,11.35
519089, F0000004AN, 新华优选成长混合, 积极配置型,5,3,10.03
3956, 0P00019FL3, 南方现代教育股票, 行业股票 - 科技、传媒及通讯,5,0,6.27
40020, 0P0000SO52, 华安升级主题混合, 积极配置型,5,4,11.84
1579, 0P0001A1SA, 国泰大农业股票, 普通股票型,5,0,10
1043, 0P00015HXD, 工银美丽城镇主题股票A, 普通股票型,5,5,16.68
1500, 0P00016BVS, 泓德远见回报混合, 积极配置型,5,5,6.85
1009, 0P000159EI, 上投摩根安全战略股票, 普通股票型,5,4,14.17
690005, 0P0000RZGQ, 民生加银内需增长混合, 积极配置型,5,4,16.06
1605, 0P000176Q4, 富兰克林国海沪港深成长精选股票, 沪港深股票型基金,5,0,19.86
163411, 0P0001BKMD, 兴全精选混合, 积极配置型,5,0,11.42
1718, 0P000175SJ, 工银瑞信物流产业股票, 普通股票型,5,0,9.76
884, 0P00014N9K, 民生加银优选股票, 普通股票型,5,5,11.3
136, 0P0000YR3Y, 民生加银策略精选混合A, 积极配置型,5,4,14.17
4076, 0P00019FNQ, 国联安锐意成长混合, 积极配置型,5,0,20.62
1186, 0P00015SXL, 富国文体健康股票A, 普通股票型,5,4,15.58
2593, 0P00017T67, 富国美丽中国混合, 积极配置型,5,0,17.07
70018, F0000004GK, 嘉实回报混合, 标准混合型基金,5,5,14.35
40011, F0000004D2, 华安核心混合, 积极配置型,5,5,11.82
1473, 0P000169PX, 建信大安全战略精选股票, 普通股票型,5,5,9.6
592, 0P00012NRY, 建信改革红利股票, 普通股票型,5,4,9.38
519003, F0000003VG, 海富通收益增长混合, 标准混合型基金,5,4,14.08
803, 0P000148Y4, 工银研究精选股票, 普通股票型,5,4,6.42
50022, 0P0000TXJW, 博时回报混合, 标准混合型基金,5,3,8.11
519193, 0P00019KQ2, 万家消费成长股票, 普通股票型,5,0,11.75
5233, 0P0001C5QV, 广发睿毅领先混合, 积极配置型,5,0,9.4
5495, 0P0001CEOA, 创金合信科技成长主题股票A, 行业股票 - 科技、传媒及通讯,5,0,3.36
151001, F020151001, 银河稳健混合, 标准混合型基金,5,4,7.28
5496, 0P0001CEOB, 创金合信科技成长主题股票C, 行业股票 - 科技、传媒及通讯,5,0,3.29
1396, 0P00016458, 建信互联网+产业升级股票, 行业股票 - 科技、传媒及通讯,5,5,18.59
1236, 0P00015Y9S, 博时丝路主题股票A, 普通股票型,5,4,17.4
519704, 0P0000T3GY, 交银先进制造混合, 积极配置型,5,5,4.47
1496, 0P000167S2, 工银瑞信聚焦30股票, 普通股票型,5,3,13.64
2556, 0P00017MXE, 博时丝路主题股票C, 普通股票型,5,0,17.32
4476, 0P0001ALMN, 景顺长城沪港深领先科技股票, 沪港深股票型基金,5,0,12.99
160133, 0P00013LTW, 南方天元新产业股票(LOF), 普通股票型,5,5,13.58
519732, 0P0000Z821, 交银定期支付双息平衡混合, 标准混合型基金,5,5,13.56
1070, 0P00015FPY, 建信信息产业股票, 行业股票 - 科技、传媒及通讯,5,5,12.36
1736, 0P00016S5O, 圆信永丰优加生活股票, 普通股票型,5,5,9.39
1975, 0P000179WD, 景顺长城环保优势股票, 普通股票型,5,0,-0.45
450001, F0000003XQ, 国富中国收益混合, 标准混合型基金,5,4,16.17
4965, 0P0001BFFO, 泓德致远混合A, 保守混合型基金,5,0,5.08
4966, 0P0001BFFP, 泓德致远混合C, 保守混合型基金,5,0,4.98
1182, 0P000162HN, 易方达安心回馈混合, 保守混合型基金,5,5,4.55
3255, 0P00018K1N, 前海开源鼎裕债券C, 积极债券型,5,0,0.61
1045, 0P00018K8E, 华夏可转债增强债券A, 可转债基金,5,0,9.11
217002, F020217002, 招商安泰平衡混合, 保守混合型基金,5,3,9.8
163816, 0P0000TFBS, 中银转债增强债券A, 可转债基金,5,3,5.27
4932, 0P0001BI6N, 招商丰拓灵活配置混合A, 保守混合型基金,5,0,4.33
5014, 0P0001BU8V, 泰康景泰回报混合A, 保守混合型基金,5,0,7.59
160322, 0P00018SNI, 华夏港股通精选股票(LOF), 香港股票型基金,5,0,12.44
121, 0P0000Z3OX, 华夏永福混合A, 保守混合型基金,5,5,3.83
50011, F0000004FO, 博时信用债券 - A/B, 积极债券型,5,5,6.5
4083, 0P00019RO0, 国联安鑫隆混合A, 保守混合型基金,5,0,4.77
2459, 0P0001967S, 华夏鼎利债券A, 积极债券型,5,0,1.63
1603, 0P00019IR0, 易方达安盈回报混合, 保守混合型基金,5,0,10.2
3254, 0P00018K1M, 前海开源鼎裕债券A, 积极债券型,5,0,0.31
297, 0P000156SC, 鹏华可转债债券A, 可转债基金,5,5,6.66
320021, 0P0000X7PS, 诺安双利债券发起, 积极债券型,5,5,-1.79
675011, 0P0000W7MV, 西部利得稳健双利债券A, 积极债券型,5,5,13.47
675013, 0P0000W7MX, 西部利得稳健双利债券C, 积极债券型,5,5,13.41
163817, 0P0000TFBT, 中银转债增强债券B, 可转债基金,5,3,5.24
4933, 0P0001BI6O, 招商丰拓灵活配置混合C, 保守混合型基金,5,0,4.27
5015, 0P0001BU8W, 泰康景泰回报混合C, 保守混合型基金,5,0,7.55
4084, 0P00019RO1, 国联安鑫隆混合C, 保守混合型基金,5,0,4.71
501050, 0P00018MVF, 华夏沪港通上证50AH优选指数（LOF）A, 香港股票型基金,5,0,12.34
50111, F0000004FQ, 博时信用债券 - C, 积极债券型,5,5,6.45
3204, 0P0001A90H, 财通收益增强债券C, 积极债券型,5,0,3.43
5039, 0P0001BI6L, 鹏扬景兴混合A, 保守混合型基金,5,0,4.15
2513, 0P0001AN8D, 金鹰元安混合C, 保守混合型基金,5,0,3.87
2351, 0P00017AMH, 易方达裕祥回报债券, 积极债券型,5,0,2.45
3134, 0P00018KU3, 易方达裕鑫债券C, 积极债券型,5,0,5.76
210014, 0P0001BN2C, 金鹰元丰债券, 积极债券型,5,0,-0.1
519933, 0P000183GN, 长信利发债券, 积极债券型,5,0,3.2
320004, F00000040B, 诺安优化收益债券, 积极债券型,5,5,-0.57
3741, 0P0001967Y, 鹏华丰盈债券, 纯债基金,5,0,0.02
47, 0P0000Y602, 华夏双债债券A, 积极债券型,5,5,2.25
2743, 0P00018VUX, 泓德裕祥债券C, 积极债券型,5,0,4.85
360014, 0P0000STW9, 光大保德信信用添益债券C, 普通债券型基金,5,5,-3.77
5121, 0P0001BJPU, 富国兴利增强债券, 积极债券型,5,0,4.1
2460, 0P0001967T, 华夏鼎利债券C, 积极债券型,5,0,1.63
118, 0P0000YMY3, 广发聚鑫债券A, 积极债券型,5,5,3.23
119, 0P0000YMY4, 广发聚鑫债券C, 积极债券型,5,4,3.17
3133, 0P00018KU2, 易方达裕鑫债券A, 积极债券型,5,0,5.78
14, 0P0000Y35F, 华夏聚利债券, 普通债券型基金,5,5,4.18
2783, 0P00018N1N, 东方红价值精选混合A, 保守混合型基金,5,0,3.2
110, 0P0001AN8C, 金鹰元安混合A, 保守混合型基金,5,0,3.88
519967, 0P00015R91, 长信利富债券, 积极债券型,5,3,3.06
2742, 0P00018VUW, 泓德裕祥债券A, 积极债券型,5,0,4.88
